uid,brand,url,price,currency,image_url,collection,reference_code,life_span_date,life_span,price_eur,year,quarter,price_category,year_quarter
797636,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00979-submersible-marina-militare-carbotech---47mm.html,19100,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/65/5/1818655.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/65/5/1818655.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00979,2021-11-30,Q4 November 2021,18312.55992329818,2021,4,Mid Range,2021Q4
797637,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00982-submersible-chrono-guillaume-nery-edition----47mm.html,19100,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/65/6/1818656.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/65/6/1818656.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00982,2021-11-30,Q4 November 2021,18312.55992329818,2021,4,Mid Range,2021Q4
797638,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00984-submersible-mike-horn-edition---47mm.html,20200,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/65/8/1818658.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/65/8/1818658.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00984,2021-11-30,Q4 November 2021,19367.209971236818,2021,4,Mid Range,2021Q4
797639,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01616-submersible-carbotech---47mm.html,17500,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/66/4/1818664.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/66/4/1818664.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01616,2021-11-30,Q4 November 2021,16778.523489932886,2021,4,Mid Range,2021Q4
797640,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01305-submersible---47mm.html,9800,CHF,"https://www.panerai.com/content/dam/rcq/pan/14/62/63/2/1462632.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/14/62/63/2/1462632.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01305,2021-11-30,Q4 November 2021,9395.973154362417,2021,4,Entry Level,2021Q4
797641,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00974-submersible---42mm.html,27000,CHF,"https://www.panerai.com/content/dam/rcq/pan/19/18/47/8/1918478.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/19/18/47/8/1918478.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00974,2021-11-30,Q4 November 2021,25886.864813039312,2021,4,High End,2021Q4
797642,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00973-submersible---42mm.html,8800,CHF,"https://www.panerai.com/content/dam/rcq/pan/19/18/47/7/1918477.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/19/18/47/7/1918477.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00973,2021-11-30,Q4 November 2021,8437.200383509109,2021,4,Entry Level,2021Q4
797643,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00692-submersible-bmg-tech---47mm.html,13500,CHF,"https://www.panerai.com/content/dam/rcq/pan/14/62/62/8/1462628.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/14/62/62/8/1462628.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00692,2021-11-30,Q4 November 2021,12943.432406519656,2021,4,Mid Range,2021Q4
797644,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01389-submersible-amagnetic---47mm.html,11500,CHF,"https://www.panerai.com/content/dam/rcq/pan/14/62/62/2/1462622.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/14/62/62/2/1462622.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01389,2021-11-30,Q4 November 2021,11025.88686481304,2021,4,Mid Range,2021Q4
797645,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00616-submersible-carbotech---47mm.html,17200,CHF,"https://www.panerai.com/content/dam/rcq/pan/91/78/76/917876.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/91/78/76/917876.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00616,2021-11-30,Q4 November 2021,16490.891658676894,2021,4,Mid Range,2021Q4
